,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
409,P00012567,JOSEPH SESTAK,SESTAK,DEM,2951,2375,410,125,41,1830,616,341,164,2593,38,72,13,0,0,235,84774.4476,USA,0.6201287699085056,0.8786851914605218,0.8048119281599457
410,P00012716,TOM STEYER,STEYER,DEM,232865,152448,49894,23307,7216,107515,60190,40318,24842,183075,10924,5971,1879,105,2,30909,74292.4199,USA,0.46170527988319415,0.7861851287226505,0.6546625727352758
411,P00014407,DEVAL PATRICK,PATRICK,DEM,6707,5808,647,210,42,4482,1203,587,435,5567,141,236,23,0,0,740,91664.1356,USA,0.6682570448784851,0.830028328611898,0.8659609363351722
412,P60007168,BERNARD SANDERS,SANDERS,DEM,1870431,1237527,401125,170660,61119,741072,513182,351889,264288,1337329,134648,66065,16235,1057,5,315103,69034.6365,USA,0.3962038695894155,0.7149844073371324,0.6616266518251676
413,P80000722,JOSEPH BIDEN,BIDEN,DEM,2222993,1554863,427906,183990,56234,1105466,549106,344558,223863,1699069,99153,94026,14476,929,10,315341,76502.5277,USA,0.497287215929155,0.7643159470137783,0.6994457472425689
414,P80001571,DONALD TRUMP,TRUMP,REP,905260,471755,246565,138291,48649,358605,254270,184290,108095,748898,42014,13917,4266,510,2,95655,69316.9785,USA,0.39613481209818174,0.8272739323509268,0.52112652718556
415,P80006117,AMY KLOBUCHAR,KLOBUCHAR,DEM,367384,284948,57727,20047,4662,200771,89613,51184,25816,311809,9379,5514,1589,126,3,38965,80363.4418,USA,0.5464881431962197,0.848727761688043,0.7756135269908325
416,S0AK00196,AL GROSS,GROSS,IND,12838,10600,1522,549,167,7793,2736,1412,897,10450,383,220,107,4,0,1674,86991.8932,AK-SEN,0.6070260165134757,0.8139897180246144,0.8256737809627668
417,S0AL00156,DOUG JONES,JONES,DEM,129713,103996,17803,6340,1574,73635,29104,16678,10296,102107,4524,3513,1103,40,0,18426,82188.0553,AL-SEN,0.5676763315935951,0.7871763046109488,0.8017392242874654
418,S0AR00200,JOSHUA MAHONY,MAHONY,DEM,1897,1423,327,125,22,1009,443,285,160,1471,82,51,16,1,0,276,80254.2593,AR-SEN,0.5318924617817606,0.7754348972061149,0.750131787032156
419,S0AZ00350,MARK KELLY,KELLY,DEM,270821,210016,41548,15385,3872,151721,64019,35408,19673,217303,9844,5026,2229,98,3,36318,81598.0518,AZ-SEN,0.5602261272205626,0.8023860778890854,0.7754790064286005
421,S0CO00286,ANDREW ROMANOFF,ROMANOFF,DEM,7663,5728,1270,521,144,3678,1931,1169,885,5561,459,268,78,2,0,1295,75472.0668,CO-SEN,0.4799686806733655,0.7256948975597025,0.7474879290095263
422,S0CO00468,MICHAEL JOHNSTON,JOHNSTON,DEM,1048,967,54,24,3,807,129,69,43,917,22,16,4,0,0,89,104019.2261,CO-SEN,0.7700381679389313,0.875,0.9227099236641222
423,S0CO00500,DAN BAER,BAER,DEM,5049,3645,939,380,85,2492,1218,822,517,3947,243,123,31,0,0,705,77240.488,CO-SEN,0.49356308179837594,0.7817389582095464,0.7219251336898396
424,S0CO00518,JOHN WALSH,WALSH,DEM,2021,1431,381,166,43,1021,484,297,219,1587,90,48,13,1,0,282,78563.6348,CO-SEN,0.5051954477981198,0.785254824344384,0.7080653142008907
425,S0CO00575,JOHN HICKENLOOPER,HICKENLOOPER,DEM,80003,64544,10754,3792,913,46466,17877,9882,5778,64941,2614,1433,592,27,0,10396,83810.5765,CO-SEN,0.5808032198792545,0.8117320600477482,0.8067697461345199
427,S0DE00092,CHRISTOPHER COONS,COONS,DEM,2781,2371,271,106,33,1930,475,213,163,2365,64,53,9,1,0,289,95652.9611,DE-SEN,0.693994965839626,0.8504135203164329,0.8525710176195613
428,S0DE00175,JESSICA SCARANE,SCARANE,DEM,2104,1584,370,118,32,984,551,331,238,1517,98,84,21,2,0,382,74410.075,DE-SEN,0.467680608365019,0.7210076045627376,0.752851711026616
430,S0GA00393,TERESA TOMLINSON,TOMLINSON,DEM,4548,3681,612,199,56,2664,963,566,355,3582,158,118,49,2,0,639,83762.6627,GA-SEN,0.5857519788918206,0.787598944591029,0.8093667546174143
431,S0GA00401,SARAH RIGGS AMICO,RIGGS AMICO,DEM,1595,1274,200,98,23,925,351,192,127,1253,61,34,14,0,0,233,85459.2376,GA-SEN,0.5799373040752351,0.7855799373040753,0.7987460815047022
432,S0GA00419,EDWARD TERRY,TERRY,DEM,1564,1138,270,121,35,709,404,269,182,1081,110,56,13,0,0,304,73263.9776,GA-SEN,0.4533248081841432,0.6911764705882353,0.7276214833759591
433,S0GA00468,MATTHEW LIEBERMAN,LIEBERMAN,DEM,6372,4817,1030,429,96,3416,1496,940,520,5089,250,113,42,2,0,876,81209.1889,GA-SEN,0.5360954174513497,0.7986503452605147,0.7559635907093534
434,S0GA00526,KELLY LOEFFLER,LOEFFLER,REP,3977,2480,892,447,158,1853,1025,721,378,3250,192,60,24,2,0,449,75423.3339,GA-SEN,0.4659290922806135,0.8171988936384209,0.6235856172994719
435,S0GA00559,RAPHAEL WARNOCK,WARNOCK,DEM,58268,40500,11157,5120,1491,27803,14424,9317,6724,43747,2405,3165,342,36,1,8573,75390.9404,GA-SEN,0.47715727328894075,0.7507894556188646,0.6950641861742294
436,S0GA00567,DOUGLAS ALLEN COLLINS,COLLINS,REP,3282,2010,775,373,124,1489,876,607,310,2791,135,35,12,0,0,309,74074.8604,GA-SEN,0.45368677635588056,0.8503960999390615,0.6124314442413162
438,S0IA00150,EDDIE MAURO,MAURO,DEM,2815,2236,399,130,50,1691,603,358,163,2192,116,34,39,0,0,434,84399.9232,IA-SEN,0.6007104795737123,0.7786856127886324,0.794316163410302
439,S0IA00168,KIMBERLY GRAHAM,GRAHAM,DEM,4304,3166,736,313,89,2131,1081,650,442,3229,229,132,35,2,0,677,76064.5213,IA-SEN,0.4951208178438662,0.7502323420074349,0.7355947955390335
440,S0IA00176,THERESA GREENFIELD,GREENFIELD,DEM,84842,68708,11161,3975,998,49585,18850,10256,6151,67664,2863,1728,742,17,2,11826,83546.6669,IA-SEN,0.5844393107187478,0.7975295254708753,0.8098347516560194
441,S0IA00200,MICHAEL FRANKEN,FRANKEN,DEM,6631,4802,1216,471,142,3356,1623,1033,619,5336,225,145,32,8,0,885,77818.1168,IA-SEN,0.5061076760669583,0.8047051726738048,0.7241743326798371
442,S0ID00180,PAULETTE JORDAN,JORDAN,DEM,3057,2279,532,195,51,1584,736,453,284,2346,117,69,31,19,0,475,77705.8649,ID-SEN,0.5181550539744848,0.7674190382728164,0.7455021262675826
443,S0KS00323,BARBARA BOLLIER,BOLLIER,DEM,31002,25190,4049,1420,343,18136,6770,3846,2250,25185,962,565,233,9,1,4047,84249.0428,KS-SEN,0.5849945164828075,0.8123669440681246,0.8125282239855494
444,S0KY00321,MICHAEL BROIHIER,BROIHIER,DEM,6294,4611,1117,439,127,3149,1553,964,628,4544,373,158,116,0,0,1103,77019.6671,KY-SEN,0.5003177629488401,0.7219574197648554,0.7326024785510009
445,S0KY00339,AMY MCGRATH,MCGRATH,DEM,610526,460111,102164,38337,9914,320628,149796,88503,51599,485968,23014,14222,4125,192,2,83004,78566.4456,KY-SEN,0.52516682336215,0.7959824806805934,0.7536304760157635
446,S0KY00420,CHARLES BOOKER,BOOKER,DEM,108230,81656,18250,6468,1856,51321,27599,16968,12342,75163,6647,5161,1028,20,0,20211,74275.3269,KY-SEN,0.47418460685577013,0.6944747297422157,0.7544673380763189
447,S0LA00311,ANTOINE PIERCE,PIERCE,DEM,1238,1008,156,58,16,722,271,160,85,953,57,34,7,1,0,186,80897.941,LA-SEN,0.5831987075928917,0.7697899838449112,0.81421647819063
448,S0LA00386,ADRIAN PERKINS,PERKINS,DEM,1610,1254,243,84,29,883,365,203,159,1200,67,61,13,0,0,269,80753.3298,LA-SEN,0.5484472049689441,0.7453416149068323,0.7788819875776397
449,S0MA00208,JOSEPH KENNEDY,KENNEDY,DEM,18331,12686,3575,1605,465,9052,4519,2923,1837,14654,812,421,137,21,0,2286,77531.7315,MA-SEN,0.49380830287491134,0.799410834106159,0.6920517156729038
450,S0ME00103,BETSY SWEET,SWEET,DEM,4953,3855,754,276,68,2625,1153,710,465,3758,225,146,36,2,0,786,78556.9765,ME-SEN,0.5299818291944276,0.7587320815667272,0.7783161720169595
451,S0ME00111,SARA GIDEON,GIDEON,DEM,209481,170944,27041,9192,2304,124477,45316,24909,14779,168487,6931,4318,1516,51,2,28176,84368.6057,ME-SEN,0.5942161818971649,0.804306834510051,0.8160358218645127
452,S0MN00328,JASON LEWIS,LEWIS,REP,13002,7545,3227,1696,534,5685,3648,2413,1256,10784,574,172,60,14,0,1398,72611.0452,MN-SEN,0.43724042455006923,0.8294108598677127,0.5802953391785879
454,S0MT00090,WILMOT COLLINS,COLLINS,DEM,2912,2176,477,203,56,1479,708,446,279,2116,157,133,29,0,0,477,76758.6504,MT-SEN,0.5078983516483516,0.7266483516483516,0.7472527472527473
455,S0MT00132,CORA NEUMANN,NEUMANN,DEM,2486,2080,295,94,17,1485,552,280,169,1945,109,46,23,0,0,363,85286.6906,MT-SEN,0.5973451327433629,0.7823813354786806,0.8366854384553499
456,S0MT00173,STEVE BULLOCK,BULLOCK,DEM,88095,71509,11456,4176,954,51179,19702,10864,6350,71900,2712,1535,656,25,1,11267,83674.2415,MT-SEN,0.580952380952381,0.8161643680118055,0.8117259776377774
457,S0NC00202,CAL CUNNINGHAM,CUNNINGHAM,DEM,105841,85865,13912,4866,1198,62039,23263,12777,7762,83996,3539,2347,913,31,1,15015,83962.7107,NC-SEN,0.5861528141268506,0.7936055025935129,0.8112640659101861
458,S0NC00343,ERICA SMITH,SMITH,DEM,1122,819,199,79,25,543,272,174,133,736,75,61,9,0,0,241,74384.5053,NC-SEN,0.4839572192513369,0.6559714795008913,0.7299465240641712
459,S0NH00219,JEANNE SHAHEEN,SHAHEEN,DEM,52730,41440,7732,2830,728,30359,11688,6801,3882,43205,1658,1153,342,18,0,6354,83323.3753,NH-SEN,0.5757443580504457,0.8193627915797459,0.7858903849800872
