,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
239,H2OH03067,MICHAEL TURNER,TURNER,REP,1640,923,444,209,64,668,516,280,176,1412,47,47,3,2,0,129,72445.6359,OH-10,0.4073170731707317,0.8609756097560975,0.5628048780487804
240,H2OH03125,JOYCE BEATTY,BEATTY,DEM,1830,1395,278,122,35,843,519,177,291,1398,22,176,5,0,0,229,74514.8005,OH-03,0.460655737704918,0.7639344262295082,0.7622950819672131
241,H2OH17109,TIMOTHY RYAN,RYAN,DEM,2343,1603,425,249,66,1008,632,412,291,1991,46,62,13,1,0,230,73286.9641,OH-13,0.43021766965428937,0.8497652582159625,0.6841655996585574
242,H2OR01133,SUZANNE BONAMICI,BONAMICI,DEM,1511,1140,285,76,10,787,411,242,71,1418,15,6,3,1,0,68,74451.5261,OR-01,0.5208471211118465,0.9384513567174056,0.7544672402382528
243,H2PA04135,SCOTT PERRY,PERRY,REP,3840,2345,960,415,120,1717,1176,652,295,3247,162,55,22,1,0,353,73855.7132,PA-10,0.4471354166666667,0.8455729166666667,0.6106770833333334
244,H2PA17079,MATTHEW CARTWRIGHT,CARTWRIGHT,DEM,4634,3153,1043,369,69,2312,1074,780,468,3915,109,133,25,0,0,452,77744.2835,PA-08,0.4989210185584808,0.8448424687095382,0.6804056970220113
245,H2SC02042,JAMES CLYBURN,CLYBURN,DEM,2872,2054,478,276,64,1288,608,464,512,1991,65,420,10,0,0,386,71910.9742,SC-06,0.44846796657381616,0.6932451253481894,0.7151810584958217
246,H2SC02059,JOE WILSON,WILSON,REP,3262,2029,750,370,113,1431,885,613,333,2628,145,103,21,1,0,364,73141.5643,SC-02,0.43868792152053954,0.8056407112201104,0.6220110361741263
247,H2TX31044,JOHN CARTER,CARTER,REP,8406,5091,1955,1039,321,3936,2268,1405,797,6791,437,122,53,3,0,1000,74127.4358,TX-31,0.46823697359029265,0.8078753271472757,0.605638829407566
248,H2TX35011,JOAQUIN CASTRO,CASTRO,DEM,2676,1813,517,192,154,1213,636,434,393,1583,515,50,13,0,0,515,72585.8613,TX-20,0.453288490284006,0.5915545590433483,0.6775037369207773
249,H2UT02324,CHRIS STEWART,STEWART,REP,2775,1696,656,333,90,1270,761,513,231,2274,138,46,19,1,0,297,74368.3059,UT-02,0.45765765765765765,0.8194594594594594,0.6111711711711711
250,H2WA06129,DEREK KILMER,KILMER,DEM,2109,1377,539,179,14,1172,385,473,79,2029,2,1,0,6,0,71,75692.6282,WA-06,0.5557136083451872,0.9620673304883831,0.6529160739687055
251,H2WI02124,MARK POCAN,POCAN,DEM,13829,9773,2682,1081,293,6093,3790,2316,1630,10563,692,436,120,8,0,2011,71614.8202,WI-02,0.44059584930219103,0.7638296333791308,0.7067033046496493
252,H4AZ07043,RUBEN GALLEGO,GALLEGO,DEM,6438,4475,1189,553,221,2732,1543,1288,875,4990,526,98,42,19,1,762,71782.1206,AZ-07,0.4243553898726313,0.775085430257844,0.6950916433675054
253,H4CA12055,ROHIT KHANNA,KHANNA,DEM,17696,12908,3101,1295,392,8911,4151,2745,1889,12108,1015,503,594,10,0,3467,79393.9679,CA-17,0.5035601265822784,0.6842224231464737,0.7294303797468354
254,H4CA33119,TED LIEU,LIEU,DEM,1881,1662,155,47,17,1428,241,140,72,1446,78,21,58,0,0,278,99247.9489,CA-33,0.759170653907496,0.7687400318979266,0.8835725677830941
255,H4FL15155,ALAN MICHAEL COHN,COHN,DEM,2835,2161,458,174,42,1290,769,492,284,2309,120,48,13,0,0,345,75161.3139,FL-15,0.455026455026455,0.8144620811287479,0.7622574955908289
256,H4FL20023,DEBBIE WASSERMAN SCHULTZ,WASSERMAN SCHULTZ,DEM,2183,1639,410,106,28,1003,638,361,181,1529,187,75,6,0,0,386,75769.4466,FL-23,0.4594594594594595,0.7004122766834632,0.7508016491067339
257,H4GA11061,BARRY LOUDERMILK,LOUDERMILK,REP,2337,1419,558,278,82,1103,650,382,202,1900,121,41,17,1,0,257,74492.7449,GA-11,0.4719726144629867,0.8130081300813008,0.6071887034659821
259,H4IA03115,DAVID YOUNG,YOUNG,REP,3764,2439,808,391,126,1849,1037,643,235,3301,130,26,23,0,0,284,77467.0794,IA-03,0.4912327311370882,0.8769925611052072,0.64798087141339
260,H4IL12060,MICHAEL BOST,BOST,REP,2741,1547,718,355,121,1192,721,556,272,2294,124,42,17,1,0,263,72401.139,IL-12,0.4348777818314484,0.8369208318132069,0.5643925574607808
261,H4MA03022,JAMES MCGOVERN,MCGOVERN,DEM,2238,1858,298,74,8,1242,527,349,120,2026,25,26,8,0,0,153,82738.7466,MA-02,0.5549597855227882,0.9052725647899911,0.8302055406613047
262,H4MA05084,KATHERINE CLARK,CLARK,DEM,1299,1233,53,11,2,1112,123,46,18,1205,12,8,1,0,0,73,108316.1031,MA-05,0.8560431100846805,0.9276366435719784,0.9491916859122402
263,H4MI12079,DEBBIE DINGELL,DINGELL,DEM,2246,1707,352,142,45,1010,732,315,189,1992,26,85,2,1,0,140,75435.5164,MI-12,0.44968833481745324,0.8869100623330365,0.7600178094390027
264,H4MN06087,THOMAS EMMER,EMMER,REP,4738,2962,1169,470,137,2445,1194,723,376,4051,169,58,27,1,0,432,76267.68,MN-06,0.5160405234276065,0.8550021105951878,0.6251582946390882
